SKU,Asin,UPC,Brand,MPN,Short Title,Long Title,Product Height,Product Width,Product Depth,Product Weight,Product Length,Product Dimensions,Item Type,Indoor/Outdoor,Light Output (Lumens),Bulb Shape,Average Life,Wattage,Bulb Finish,Lighting Technology,Bulb Diameter,Light Bulb Type,Color Rendering Index (CRI),Lighting Color,Color Temperature,Number Of Bulbs Required,Light Output Lumens,Pack Count,Features,Shape,Product Type,-Volt,Brightness,Lumens Per,Base,Bulb Color,Product Diameter,Country of Manufacture,Catalog No,Beam Angle,Product Size,Finish,Maximum Length,Rated Life,Remote Access,Power Source,Product Color,Certifications & Listings,Power Options,Light Source,Binding,Room,Product Material,Components Included,Overall Height-Top To Bottom,Certifications,Ratings,Fixture Features,Energy Used,Style,Number Of Bulbs,Watts Per Bulb,Commercial/Residential,Recommended Use,Incandescent Equivalent,Color Rendering Index (Cri),Bulb Features,Bulb Base,Application,Indoor,Series,Bulb Length,Brightness Lumens,Number Of Pieces,Maximum Overall Length (Mol),Beam Spread,Rated Average Life,Family,Compatible Technology,Max Overall Length,Safety Rating,Energy Star,Color Finish,Gender,Character Family,Theme,Main Character,Bundled Items
206650581,B00GO28R6W,836607007520,Eti,52988302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203664861,B009ZSSKWS,46677238001,Philips,238006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301154657,B074KQV9Z8,46677469436,Philips,469437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202766537,B008ATHE16,46677415273,Philips,415273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202794151,B0066KZTEU,46677416294,Philips,416297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100645867,B0026SMXJK,70686751145,Amerelle,73062GY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100476614,B002CYVM3G,46677138233,Philips,138230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302071069,,17801782714,Feit Electric,BPQ100T4/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207106614,B01LMEQRFO,46677463458,Philips,463455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205717319,B019YLSBME,859149005014,Unbranded,40ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204689694,,17801859591,Feit Electric,ESL26TMS/GU24/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206514303,B019RH16CW,46677458621,Philips,458620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302837316,,30721501906,Westinghouse,5019000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203872220,B002HNAHME,46677230883,Philips,230888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206200381,,46135582943,EcoSmart,58294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206705741,B01EW21R6W,17801208818,Feit Electric,EFC/300/LED/COLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301357580,B01M27VSJY,726843009658,Newhouse Lighting,G25INC-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203248900,B00ER3BGIG,46677420000,Philips,420000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300273441,B01JJ1MP76,30721131325,Westinghouse,3313220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204363605,B00EFCZ2DO,46677424190,Philips,424192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
